2012-12-11 15:52:56 Notice: Notice (8): Undefined property: Subcategoria::$Categorium in [/var/www/cake/hotel/controllers/subcategorias_controller.php, line 29]
2012-12-11 16:04:16 Notice: Notice (8): Undefined variable: javascript in [/var/www/cake/hotel/views/subcategorias/add.ctp, line 2]
2012-12-11 16:07:23 Notice: Notice (8): Array to string conversion in [/usr/share/php/cake/libs/model/datasources/dbo_source.php, line 749]
2012-12-11 16:08:04 Notice: Notice (8): Array to string conversion in [/usr/share/php/cake/libs/model/datasources/dbo_source.php, line 749]
2012-12-11 16:09:13 Notice: Notice (8): Undefined property: Subcategoria::$Categorium in [/var/www/cake/hotel/controllers/subcategorias_controller.php, line 51]
2012-12-11 16:26:22 Notice: Notice (8): Undefined index: imagem_file_name in [/var/www/cake/hotel/views/subcategorias/edit.ctp, line 51]
2012-12-11 16:26:42 Notice: Notice (8): Undefined index: imagem_file_name in [/var/www/cake/hotel/views/subcategorias/edit.ctp, line 52]
2012-12-11 16:28:52 Notice: Notice (8): Undefined property: View::$html in [/var/www/cake/hotel/views/subcategorias/edit.ctp, line 54]
2012-12-11 17:02:31 Notice: Notice (8): Undefined variable: javascript in [/var/www/cake/hotel/views/paginas/add.ctp, line 2]
2012-12-11 17:02:51 Notice: Notice (8): Undefined variable: javascript in [/var/www/cake/hotel/views/paginas/add.ctp, line 2]
2012-12-11 17:02:52 Notice: Notice (8): Undefined variable: javascript in [/var/www/cake/hotel/views/paginas/add.ctp, line 2]
2012-12-11 17:07:34 Notice: Notice (8): Undefined index: publicacao in [/var/www/cake/hotel/views/paginas/index.ctp, line 23]
2012-12-11 17:08:56 Notice: Notice (8): Undefined index: publicacao in [/var/www/cake/hotel/views/paginas/index.ctp, line 23]
2012-12-11 17:09:08 Notice: Notice (8): Undefined index: publicacao in [/var/www/cake/hotel/views/paginas/index.ctp, line 23]
2012-12-11 17:09:28 Notice: Notice (8): Undefined index: publicacao in [/var/www/cake/hotel/views/paginas/index.ctp, line 23]
2012-12-11 17:11:28 Notice: Notice (8): Undefined index: publicacao in [/var/www/cake/hotel/views/paginas/index.ctp, line 23]
2012-12-11 17:11:38 Notice: Notice (8): Undefined index: publicacao in [/var/www/cake/hotel/views/paginas/index.ctp, line 23]
2012-12-11 17:13:26 Notice: Notice (8): Undefined index: publicacao in [/var/www/cake/hotel/views/paginas/view.ctp, line 21]
2012-12-11 17:52:32 Notice: Notice (8): Undefined property: View::$Js in [/var/www/cake/hotel/views/images/add.ctp, line 1]
2012-12-11 18:29:56 Notice: Notice (8): Undefined property: ImagesController::$Imagen in [/var/www/cake/hotel/controllers/images_controller.php, line 32]
